3D-SM,SVI30(10*mL/g)
1,1137.5
2,720.63
3,1102.13
4,1426.32
5,838.46
6,1307.69
7,1086.79
8,711.48
9,816.13
10,591.43
11,414.14
12,485.71
13,1448.78
14,825
15,1195.65
16,1717.65
17,789.29
18,1243.48
19,1400
20,607.32
21,1020.34
22,1520.75
23,550
24,1136.67
25,1884.21
26,491.57
27,1484.44
28,1408.7
29,1481.82
30,522.22
31,370
32,471.43
33,383.33
34,312
35,3168.42
36,639.02
37,1880
38,1993.75
39,618.82
40,1481.82
41,1576
42,1707.69
43,2703.45
44,558.76
45,1650
46,1710
47,1655.56
48,1595.92
49,1862.5
50,543.69
